"Year","Duration","Rating","Review","Budget","Collection","Drama","Crime","Action","Biography","History","Adventure","Western","Romance","Sci-Fi","Fantasy","Mystery","Family","Thriller","War","Comedy","Animation","Music","Horror","Film-Noir","Musical","Sport","Net_income","Profitable","Duration_z-score","Rating_z-score","Review_z-score","Budget_z-score","Collection_z-score","Net_income_z-score"
2011,112,8.5,927000,10260000,426590315,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",416330315,"1",-0.605073973431334,0.795213112606796,0.417432886323324,-0.476415118756539,1.55890102106867,1.82721588637111
1988,174,8.5,282000,5000000,13020497,"1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",8020497,"1",1.4675551068307,0.795213112606796,-0.738975327802744,-0.661012749322589,-0.774676182711025,-0.74674939000989
1936,87,8.5,259000,1500000,463618,"1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0",-1036382,"0",-1.44081150579506,0.795213112606796,-0.780211589701813,-0.783843872322811,-0.845528661082694,-0.803843515673026
1954,112,8.5,521000,1000000,5014000,"0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0",4014000,"1",-0.605073973431334,0.795213112606796,-0.310476780242852,-0.801391175608558,-0.819853026059228,-0.772006152652626
1968,166,8.5,349000,5000000,5435312,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",435312,"0",1.2001190964743,0.795213112606796,-0.618852304009803,-0.661012749322589,-0.817475763415562,-0.794566028121996
1979,117,8.5,948000,11000000,106285522,"0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0",95285522,"1",-0.43792646695859,0.795213112606796,0.455083386318127,-0.450445109893635,-0.248426135494225,-0.196634907598596
1931,87,8.5,196000,1500000,972212,"1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0",-527788,"0",-1.44081150579506,0.795213112606796,-0.893163089686219,-0.783843872322811,-0.842658907747892,-0.800637363780358
1979,147,8.4,709000,31500000,104911478,"1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0",73411478,"1",0.564958571877876,0.373125473218901,0.0265848387582346,0.268994324821957,-0.256179210346003,-0.334527819372836
2012,165,8.5,1700000,100000000,426076293,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",326076293,"1",1.16668959517976,0.795213112606796,1.80332986232247,2.67297487496918,1.55600064011911,1.25825891193527
2000,113,8.4,1300000,9000000,40047236,"0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0",31047236,"1",-0.571644472136785,0.373125473218901,1.0861774814691,-0.520634323036619,-0.622177186706187,-0.601589944898805
2023,147,9,109000,7300000,138288,"1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",-7161712,"0",0.564958571877876,2.90565130954628,-1.04914373252183,-0.580295154208156,-0.847364343085257,-0.842457298715526
2008,98,8.4,1200000,30000000,521320168,"0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0",491320168,"1",-1.07308699155502,0.373125473218901,0.906889386255753,0.216352414964718,2.09341639394388,2.29994828023903
1981,115,8.4,1000000,18000000,389925971,"0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",371925971,"1",-0.504785469547688,0.373125473218901,0.548313195829065,-0.204782863893189,1.35202161733535,1.54729305684836
2006,137,8.4,409000,2000000,77357476,"1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0",75357476,"1",0.230663558932387,0.373125473218901,-0.511279446881797,-0.766296569037065,-0.411653299947242,-0.322260342424959
1950,110,8.4,236000,1752000,304474,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0",-1447526,"0",-0.671932976020432,0.373125473218901,-0.821447851600882,-0.775000031466795,-0.846426634760547,-0.806435347495185
1957,88,8.4,212000,935000,304474,"1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0",-630526,"0",-1.40738200450051,0.373125473218901,-0.864476994452084,-0.803672325035705,-0.846426634760547,-0.801285019146227
2018,149,8.4,1200000,93000000,384298736,"0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0",291298736,"1",0.631817574466974,0.373125473218901,0.906889386255753,2.42731262896873,1.32026981450841,1.03902288044861
2018,117,8.4,669000,90000000,384298736,"0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0",294298736,"1",-0.43792646695859,0.373125473218901,-0.0451303993271029,2.32202880925425,1.32026981450841,1.05793473485115
1957,116,8.4,138000,3000000,7693,"1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0",-2992307,"0",-0.471355968253139,0.373125473218901,-0.997150184909959,-0.731201962465573,-0.848101228374424,-0.816173571947121
1980,146,8.4,1100000,19000000,131060248,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0",112060248,"1",0.531529070583327,0.373125473218901,0.727601291042409,-0.169688257321697,-0.108634174603384,-0.0908878490137699
1940,125,8.4,237000,2000000,972212,"1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0",-1027788,"0",-0.170490456602199,0.373125473218901,-0.819654970648748,-0.766296569037065,-0.842658907747892,-0.803789339514114
1986,137,8.4,761000,18500000,131060248,"0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0",112560248,"1",0.230663558932387,0.373125473218901,0.119814648269173,-0.187235560607443,-0.108634174603384,-0.0877358732800134
2009,153,8.4,1600000,70000000,321458605,"1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0",251458605,"1",0.765535579645169,0.373125473218901,1.62404176710913,1.62013667782441,0.965692930988998,0.787872628165258
2012,164,8.4,1800000,93000000,380418444,"1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",287418444,"1",1.13326009388521,0.373125473218901,1.98261795753582,2.42731262896873,1.29837517771166,1.01456170800083
1964,95,8.4,517000,1800000,2010042,"0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0",210042,"0",-1.17337549543866,0.373125473218901,-0.317648304051386,-0.773315490351364,-0.83680292811884,-0.795986119269083
